2015 06 08    8.24   20.23   12.88   24.06   15.82   19.63              0.32              0.32              -999              3.72
2015 06 09   12.14   22.27   13.93   27.18   15.04   20.44              0.54              0.54              -999              6.32
2015 06 10   15.61   24.08   13.30   30.75   15.14   22.77              0.60              0.60              6.92              6.86
2015 06 11   10.28   23.22   14.61   28.01   17.73   22.74              0.25              0.25              -999              2.86
2015 06 12    9.60   22.99   14.81   27.15   17.55   21.70              0.53              0.53              6.85              6.23
2015 06 13    9.42   22.23   16.14   26.10   16.68   21.37              0.48              0.48              -999              5.51
2015 06 14    5.64   21.20   17.09   23.88   18.24   20.66              0.50              0.50              -999              5.80
2015 06 15   11.50   24.03   16.00   29.00   17.50   22.76              0.55              0.55              -999              6.38
2015 06 16   11.46   25.15   15.73   29.26   17.80   23.32              0.58              0.58              -999              6.64
2015 06 17   11.69   24.46   16.02   29.05   17.36   22.91              0.51              0.51              -999              5.82
2015 06 18   10.97   24.82   15.51   29.50   18.53   23.32              0.56              0.56              -999              6.37
2015 06 19   10.67   24.32   14.95   28.22   17.55   22.65              0.48              0.48              -999              5.54
2015 06 20    6.41   20.81   15.87   23.50   17.09   20.08              0.07              0.07              -999              0.81
2015 06 21   12.57   23.93   14.71   28.21   15.64   21.91              0.59              0.59              -999              6.84
2015 06 22   11.18   24.42   15.63   28.06   16.88   22.48              0.58              0.58              -999              6.71
2015 06 23    9.89   25.09   15.48   28.40   18.51   23.09              0.57              0.57              -999              6.74
2015 06 24   10.73   24.64   15.54   28.95   18.22   23.62              0.49              0.49              -999              5.70
2015 06 25    8.39   24.01   16.82   27.65   19.26   23.24              0.29              0.29              -999              3.34
2015 06 26    5.53   20.77   16.11   23.05   17.52   20.39              0.34              0.34              -999              3.90
2015 06 27   10.95   22.81   14.94   26.97   16.02   22.08              0.57              0.57              -999              6.63
2015 06 28   12.51   25.26   16.17   29.75   17.24   23.49              0.61              0.61              6.82              6.79
2015 06 29    9.07   23.81   16.99   27.92   18.85   22.87              0.51              0.51              -999              5.92
2015 06 30    8.94   24.83   16.98   27.97   19.02   23.27              0.36              0.36              -999              4.16
2015 07 01    9.27   24.07   15.60   27.79   18.52   22.65              0.59              0.59              7.10              6.94
2015 07 02    9.49   23.43   15.82   27.21   17.72   22.08              0.51              0.51              -999              5.82
2015 07 03   11.20   23.02   12.55   27.55   16.35   21.60              0.49              0.49              7.10              5.57
2015 07 04   12.84   24.45   13.09   28.64   15.81   22.44              0.61              0.61              7.08              6.98
2015 07 05   11.01   24.57   14.67   28.39   17.38   22.66              0.58              0.58              6.98              6.57
2015 07 06   11.61   25.69   13.71   29.99   18.38   23.80              0.62              0.62              7.03              6.94
2015 07 07    9.39   23.68   14.22   28.59   19.20   23.29              0.37              0.37              -999              4.29
2015 07 08    8.48   22.96   15.64   26.85   18.38   22.05              0.26              0.26              -999              2.93
2015 07 09   12.74   25.63   18.08   30.52   17.79   24.36              0.44              0.44              -999              4.99
2015 07 10   12.49   28.08   19.01   32.92   20.43   26.90              0.40              0.40              -999              4.62
2015 07 11   12.42   29.02   19.74   34.30   21.89   27.69              0.52              0.52              -999              6.02
2015 07 12    4.72   24.48   22.51   27.88   23.16   24.83              0.10              0.10              -999              1.13
2015 07 13    3.51   23.76   21.18   25.18   21.68   23.26              0.20              0.20              -999              2.21
2015 07 14    8.09   25.36   20.44   29.08   20.98   24.63              0.56              0.56              -999              6.39
2015 07 15   10.69   25.47   19.07   30.77   20.07   24.95              0.57              0.57              6.83              6.42
2015 07 16    9.72   22.46   15.29   26.72   17.00   21.67              0.54              0.54              -999              6.03
2015 07 17    9.67   21.68   13.28   25.23   15.56   20.59              0.57              0.57              -999              6.33
